premise	hypothesis	label
We're shut.	We're open.	1
We're shut.	We're not shut.	1
We're shut.	We're not open.	0
We're closed.	We're open.	1
We're closed.	We're not closed.	1
We're closed.	We're not open.	0
We're unreceptive.	We're open.	1
We're unreceptive.	We're not unreceptive.	1
We're unreceptive.	We're not open.	0
We're covert.	We're open.	1
We're covert.	We're not covert.	1
We're covert.	We're not open.	0
That's irrelevant.	That's relevant.	1
That's irrelevant.	That's not irrelevant.	1
That's irrelevant.	That's not relevant.	0
They're irreplaceable.	They're replaceable.	1
They're irreplaceable.	They're not irreplaceable.	1
They're irreplaceable.	They're not replaceable.	0
You're frivolous, aren't you?	You're serious, aren't you?	1
You're frivolous, aren't you?	You're not frivolous, are you?	1
You're frivolous, aren't you?	You're not serious, are you?	0
You're playful, aren't you?	You're serious, aren't you?	1
You're playful, aren't you?	You're not playful, are you?	1
You're playful, aren't you?	You're not serious, are you?	0
This is the other thing.	This is the same thing.	1
This is the other thing.	This is not the other thing.	1
This is the other thing.	This is not the same thing.	0
This is a different thing.	This is the same thing.	1
This is a different thing.	This is not a different thing.	1
This is a different thing.	This is not the same thing.	0
This is an unlike thing.	This is the same thing.	1
This is an unlike thing.	This is not an unlike thing.	1
This is an unlike thing.	This is not the same thing.	0
You're unafraid?	You're afraid?	1
You're unafraid?	You're not unafraid?	1
You're unafraid?	You're not afraid?	0
This girl's allergies are extraordinary.	This girl's allergies are ordinary.	1
This girl's allergies are extraordinary.	This girl's allergies are not extraordinary.	1
This girl's allergies are extraordinary.	This girl's allergies are not ordinary.	0
It is unfair.	It is fair.	1
It is unfair.	It is not unfair.	1
It is unfair.	It is not fair.	0
It is foul.	It is fair.	1
It is foul.	It is not foul.	1
It is foul.	It is not fair.	0
Because it's unfair.	Because it's fair.	1
Because it's unfair.	Because it's not unfair.	1
Because it's unfair.	Because it's not fair.	0
Because it's foul.	Because it's fair.	1
Because it's foul.	Because it's not foul.	1
Because it's foul.	Because it's not fair.	0
You're well, aren't you?	You're sick, aren't you?	1
You're well, aren't you?	You're not well, are you?	1
You're well, aren't you?	You're not sick, are you?	0
Is that false?	Is that true?	1
Is that false?	Is that not false?	1
Is that false?	Is that not true?	0
Is that untruthful?	Is that true?	1
Is that untruthful?	Is that not untruthful?	1
Is that untruthful?	Is that not true?	0
That's dangerous.	That's safe.	1
That's dangerous.	That's not dangerous.	1
That's dangerous.	That's not safe.	0
That's out.	That's safe.	1
That's out.	That's not out.	1
That's out.	That's not safe.	0
Because it's dangerous.	Because it's safe.	1
Because it's dangerous.	Because it's not dangerous.	1
Because it's dangerous.	Because it's not safe.	0
Because it's out.	Because it's safe.	1
Because it's out.	Because it's not out.	1
Because it's out.	Because it's not safe.	0
She's major.	She's underage.	1
She's major.	She's not major.	1
She's major.	She's not underage.	0
But that's irrelevant.	But that's relevant.	1
But that's irrelevant.	But that's not irrelevant.	1
But that's irrelevant.	But that's not relevant.	0
That's a bad idea.	That's a good idea.	1
That's a bad idea.	That's not a bad idea.	1
That's a bad idea.	That's not a good idea.	0
That's an evil idea.	That's a good idea.	1
That's an evil idea.	That's not an evil idea.	1
That's an evil idea.	That's not a good idea.	0
The Fuhrer is alive.	The Fuhrer is dead.	1
The Fuhrer is alive.	The Fuhrer is not alive.	1
The Fuhrer is alive.	The Fuhrer is not dead.	0
That's...impossible.	That's...possible.	1
That's...impossible.	That's...not impossible.	1
That's...impossible.	That's...not possible.	0
That's...actual.	That's...possible.	1
That's...actual.	That's...not actual.	1
That's...actual.	That's...not possible.	0
I'm happy.	I'm unhappy.	1
I'm happy.	I'm not happy.	1
I'm happy.	I'm not unhappy.	0
I'm euphoric.	I'm unhappy.	1
I'm euphoric.	I'm not euphoric.	1
I'm euphoric.	I'm not unhappy.	0
You see, I know that's false.	You see, I know that's true.	1
You see, I know that's false.	You see, I know that's not false.	1
You see, I know that's false.	You see, I know that's not true.	0
You see, I know that's untruthful.	You see, I know that's true.	1
You see, I know that's untruthful.	You see, I know that's not untruthful.	1
You see, I know that's untruthful.	You see, I know that's not true.	0
It's what you would call unethical.	It's what you would call ethical.	1
It's what you would call unethical.	It's not what you would call unethical.	1
It's what you would call unethical.	It's not what you would call ethical.	0
Something's incorrect to me.	Something's right to me.	1
Something's incorrect to me.	Something's not incorrect to me.	1
Something's incorrect to me.	Something's not right to me.	0
Something's wrong to me.	Something's right to me.	1
Something's wrong to me.	Something's not wrong to me.	1
Something's wrong to me.	Something's not right to me.	0
Um, I'm uncertain.	Um, I'm sure.	1
Um, I'm uncertain.	Um, I'm not uncertain.	1
Um, I'm uncertain.	Um, I'm not sure.	0
Um, I'm unsure.	Um, I'm sure.	1
Um, I'm unsure.	Um, I'm not unsure.	1
Um, I'm unsure.	Um, I'm not sure.	0
He's alive.	He's dead.	1
He's alive.	He's not alive.	1
He's alive.	He's not dead.	0
She's dull.	She's bright.	1
She's dull.	She's not dull.	1
She's dull.	She's not bright.	0
She's dimmed.	She's bright.	1
She's dimmed.	She's not dimmed.	1
She's dimmed.	She's not bright.	0
He's different from the other guys.	He's like the other guys.	1
He's different from the other guys.	He's not different from the other guys.	1
He's different from the other guys.	He's not like the other guys.	0
He's unlike the other guys.	He's like the other guys.	1
He's unlike the other guys.	He's not unlike the other guys.	1
He's unlike the other guys.	He's not like the other guys.	0
That's unimportant.	That's important.	1
That's unimportant.	That's not unimportant.	1
That's unimportant.	That's not important.	0
That's insignificant.	That's important.	1
That's insignificant.	That's not insignificant.	1
That's insignificant.	That's not important.	0
That's noncrucial.	That's important.	1
That's noncrucial.	That's not noncrucial.	1
That's noncrucial.	That's not important.	0
That's unfair, Nance.	That's fair, Nance.	1
That's unfair, Nance.	That's not unfair, Nance.	1
That's unfair, Nance.	That's not fair, Nance.	0
That's foul, Nance.	That's fair, Nance.	1
That's foul, Nance.	That's not foul, Nance.	1
That's foul, Nance.	That's not fair, Nance.	0
But something's incorrect.	But something's right.	1
But something's incorrect.	But something's not incorrect.	1
But something's incorrect.	But something's not right.	0
But something's wrong.	But something's right.	1
But something's wrong.	But something's not wrong.	1
But something's wrong.	But something's not right.	0
It's a good idea.	It's a bad idea.	1
It's a good idea.	It's not a good idea.	1
It's a good idea.	It's not a bad idea.	0
This is a bad sign.	This is a good sign.	1
This is a bad sign.	This is not a bad sign.	1
This is a bad sign.	This is not a good sign.	0
This is an evil sign.	This is a good sign.	1
This is an evil sign.	This is not an evil sign.	1
This is an evil sign.	This is not a good sign.	0
That's foolish.	That's wise.	1
That's foolish.	That's not foolish.	1
That's foolish.	That's not wise.	0
It's unattractive.	It's attractive.	1
It's unattractive.	It's not unattractive.	1
It's unattractive.	It's not attractive.	0
It's repulsive.	It's attractive.	1
It's repulsive.	It's not repulsive.	1
It's repulsive.	It's not attractive.	0
No, that's a bad idea.	No, that's a good idea.	1
No, that's a bad idea.	No, that's not a bad idea.	1
No, that's a bad idea.	No, that's not a good idea.	0
No, that's an evil idea.	No, that's a good idea.	1
No, that's an evil idea.	No, that's not an evil idea.	1
No, that's an evil idea.	No, that's not a good idea.	0
You're good yourself.	You're bad yourself.	1
You're good yourself.	You're not good yourself.	1
You're good yourself.	You're not bad yourself.	0
That's good, isn't it?	That's bad, isn't it?	1
That's good, isn't it?	That's not good, is it?	1
That's good, isn't it?	That's not bad, is it?	0
This is illogical.	This is logical.	1
This is illogical.	This is not illogical.	1
This is illogical.	This is not logical.	0
This is incoherent.	This is logical.	1
This is incoherent.	This is not incoherent.	1
This is incoherent.	This is not logical.	0
They are alive.	They are dead.	1
They are alive.	They are not alive.	1
They are alive.	They are not dead.	0
She's unstable.	She's stable.	1
She's unstable.	She's not unstable.	1
She's unstable.	She's not stable.	0
She's impossible.	She's possible.	1
She's impossible.	She's not impossible.	1
She's impossible.	She's not possible.	0
She's actual.	She's possible.	1
She's actual.	She's not actual.	1
She's actual.	She's not possible.	0
But it's unfair.	But it's fair.	1
But it's unfair.	But it's not unfair.	1
But it's unfair.	But it's not fair.	0
But it's foul.	But it's fair.	1
But it's foul.	But it's not foul.	1
But it's foul.	But it's not fair.	0
It is inconvenient.	It is convenient.	1
It is inconvenient.	It is not inconvenient.	1
It is inconvenient.	It is not convenient.	0
It is incommodious.	It is convenient.	1
It is incommodious.	It is not incommodious.	1
It is incommodious.	It is not convenient.	0
It's unimportant.	It's a big deal.	1
It's unimportant.	It's not a big deal.	0
It's insignificant.	It's a big deal.	1
It's insignificant.	It's not a big deal.	0
It's a small deal.	It's a big deal.	1
It's a small deal.	It's not a small deal.	1
It's a small deal.	It's not a big deal.	0
It's a little deal.	It's a big deal.	1
It's a little deal.	It's not a little deal.	1
It's a little deal.	It's not a big deal.	0
It's unnecessary.	It's necessary.	1
It's unnecessary.	It's not unnecessary.	1
It's unnecessary.	It's not necessary.	0
They're alive.	They're dead.	1
They're alive.	They're not alive.	1
They're alive.	They're not dead.	0
It's easy.	It's difficult.	1
It's easy.	It's not easy.	1
It's easy.	It's not difficult.	0
It's manageable.	It's difficult.	1
It's manageable.	It's not manageable.	1
It's manageable.	It's not difficult.	0
Be unafraid of him.	Be afraid of him.	1
Be unafraid of him.	Be not unafraid of him.	1
Be unafraid of him.	Be not afraid of him.	0
It's indecent.	It's decent.	1
It's indecent.	It's not indecent.	1
It's indecent.	It's not decent.	0
You're frivolous.	You're serious.	1
You're frivolous.	You're not frivolous.	1
You're frivolous.	You're not serious.	0
You're playful.	You're serious.	1
You're playful.	You're not playful.	1
You're playful.	You're not serious.	0
We're in danger, aren't we?	We're safe, aren't we?	1
We're in danger, aren't we?	We're not in danger, are we?	1
We're in danger, aren't we?	We're not safe, are we?	0
We're out, aren't we?	We're safe, aren't we?	1
We're out, aren't we?	We're not out, are we?	1
We're out, aren't we?	We're not safe, are we?	0
It's a bad time.	It's a good time.	1
It's a bad time.	It's not a bad time.	1
It's a bad time.	It's not a good time.	0
It's an evil time.	It's a good time.	1
It's an evil time.	It's not an evil time.	1
It's an evil time.	It's not a good time.	0
I'm bad at this.	I'm good at this.	1
I'm bad at this.	I'm not bad at this.	1
I'm bad at this.	I'm not good at this.	0
I'm evil at this.	I'm good at this.	1
I'm evil at this.	I'm not evil at this.	1
I'm evil at this.	I'm not good at this.	0
This is difficult.	This is easy.	1
This is difficult.	This is not difficult.	1
This is difficult.	This is not easy.	0
This is uneasy.	This is easy.	1
This is uneasy.	This is not uneasy.	1
This is uneasy.	This is not easy.	0
That's illegal.	That's legal.	1
That's illegal.	That's not illegal.	1
That's illegal.	That's not legal.	0
She is unstable.	She is stable.	1
She is unstable.	She is not unstable.	1
She is unstable.	She is not stable.	0
She's in danger.	She's safe.	1
She's in danger.	She's not in danger.	1
She's in danger.	She's not safe.	0
She's out.	She's safe.	1
She's out.	She's not out.	1
She's out.	She's not safe.	0
But it's incorrect.	But it's right.	1
But it's incorrect.	But it's not incorrect.	1
But it's incorrect.	But it's not right.	0
But it's wrong.	But it's right.	1
But it's wrong.	But it's not wrong.	1
But it's wrong.	But it's not right.	0
It is unnatural.	It is natural.	1
It is unnatural.	It is not unnatural.	1
It is unnatural.	It is not natural.	0
It is artificial.	It is natural.	1
It is artificial.	It is not artificial.	1
It is artificial.	It is not natural.	0
It is supernatural.	It is natural.	1
It is supernatural.	It is not supernatural.	1
It is supernatural.	It is not natural.	0
It is sharp.	It is natural.	1
It is sharp.	It is not sharp.	1
It is sharp.	It is not natural.	0
That's unfair, you're hiding.	That's fair, you're hiding.	1
That's unfair, you're hiding.	That's not unfair, you're hiding.	1
That's unfair, you're hiding.	That's not fair, you're hiding.	0
That's foul, you're hiding.	That's fair, you're hiding.	1
That's foul, you're hiding.	That's not foul, you're hiding.	1
That's foul, you're hiding.	That's not fair, you're hiding.	0
You're unafraid of him?	You're afraid of him?	1
You're unafraid of him?	You're not unafraid of him?	1
You're unafraid of him?	You're not afraid of him?	0
But it is impossible.	But it is possible.	1
But it is impossible.	But it is not impossible.	1
But it is impossible.	But it is not possible.	0
But it is actual.	But it is possible.	1
But it is actual.	But it is not actual.	1
But it is actual.	But it is not possible.	0
I'm imperfect.	I'm perfect.	1
I'm imperfect.	I'm not imperfect.	1
I'm imperfect.	I'm not perfect.	0
It's near.	It's much further.	1
It's near.	It's not near.	1
It's near.	It's not much further.	0
It's...going to be difficult.	It's...going to be easy.	1
It's...going to be difficult.	It's not...going to be difficult.	1
It's...going to be difficult.	It's not...going to be easy.	0
It's...going to be uneasy.	It's...going to be easy.	1
It's...going to be uneasy.	It's not...going to be uneasy.	1
It's...going to be uneasy.	It's not...going to be easy.	0
It's usual.	It's unusual.	1
It's usual.	It's not usual.	1
It's usual.	It's not unusual.	0
It's familiar.	It's unusual.	1
It's familiar.	It's not familiar.	1
It's familiar.	It's not unusual.	0
You know that's false.	You know that's true.	1
You know that's false.	You know that's not false.	1
You know that's false.	You know that's not true.	0
You know that's untruthful.	You know that's true.	1
You know that's untruthful.	You know that's not untruthful.	1
You know that's untruthful.	You know that's not true.	0
It's abnormal behaviour.	It's normal behaviour.	1
It's abnormal behaviour.	It's not abnormal behaviour.	1
It's abnormal behaviour.	It's not normal behaviour.	0
It's paranormal behaviour.	It's normal behaviour.	1
It's paranormal behaviour.	It's not paranormal behaviour.	1
It's paranormal behaviour.	It's not normal behaviour.	0
That's bad, isn't it?	That's good, isn't it?	1
That's bad, isn't it?	That's not bad, is it?	1
That's bad, isn't it?	That's not good, is it?	0
That's evil, isn't it?	That's good, isn't it?	1
That's evil, isn't it?	That's not evil, is it?	1
That's evil, isn't it?	That's not good, is it?	0
It is legal.	It is illegal.	1
It is legal.	It is not legal.	1
It is legal.	It is not illegal.	0
It's unhealthy for you.	It's healthy for you.	1
It's unhealthy for you.	It's not unhealthy for you.	1
It's unhealthy for you.	It's not healthy for you.	0
Ooh, that's bad.	Ooh, that's good.	1
Ooh, that's bad.	Ooh, that's not bad.	1
Ooh, that's bad.	Ooh, that's not good.	0
Ooh, that's evil.	Ooh, that's good.	1
Ooh, that's evil.	Ooh, that's not evil.	1
Ooh, that's evil.	Ooh, that's not good.	0
This was a bad idea.	This was a good idea.	1
This was a bad idea.	This was not a bad idea.	1
This was a bad idea.	This was not a good idea.	0
This was an evil idea.	This was a good idea.	1
This was an evil idea.	This was not an evil idea.	1
This was an evil idea.	This was not a good idea.	0
That's disrespectful.	That's respectful.	1
That's disrespectful.	That's not disrespectful.	1
That's disrespectful.	That's not respectful.	0
You're insane.	You're sane.	1
You're insane.	You're not insane.	1
You're insane.	You're not sane.	0
Life's unfair.	Life's fair.	1
Life's unfair.	Life's not unfair.	1
Life's unfair.	Life's not fair.	0
Why he said you're unavailable?	Why he said you're available?	1
Why he said you're unavailable?	Why he said you're not unavailable?	1
Why he said you're unavailable?	Why he said you're not available?	0
She's unready.	She's ready.	1
She's unready.	She's not unready.	1
She's unready.	She's not ready.	0
You're being unfair.	You're being fair.	1
You're being unfair.	You're not being unfair.	1
You're being unfair.	You're not being fair.	0
Oh, he's nonfictional.	Oh, he's fictional.	1
Oh, he's nonfictional.	Oh, he's not nonfictional.	1
Oh, he's nonfictional.	Oh, he's not fictional.	0
Why would he say it if it's false?	Why would he say it if it's true?	1
Why would he say it if it's false?	Why would he say it if it's not false?	1
Why would he say it if it's false?	Why would he say it if it's not true?	0
Why would he say it if it's untruthful?	Why would he say it if it's true?	1
Why would he say it if it's untruthful?	Why would he say it if it's not untruthful?	1
Why would he say it if it's untruthful?	Why would he say it if it's not true?	0
I'm bad at heights.	I'm good at heights.	1
I'm bad at heights.	I'm not bad at heights.	1
I'm bad at heights.	I'm not good at heights.	0
I'm evil at heights.	I'm good at heights.	1
I'm evil at heights.	I'm not evil at heights.	1
I'm evil at heights.	I'm not good at heights.	0
It's abnormal.	It's normal.	1
It's abnormal.	It's not abnormal.	1
It's abnormal.	It's not normal.	0
It's paranormal.	It's normal.	1
It's paranormal.	It's not paranormal.	1
It's paranormal.	It's not normal.	0
She's innocent.	She's guilty.	1
She's innocent.	She's not innocent.	1
She's innocent.	She's not guilty.	0
Oh, that's incorrect.	Oh, that's right.	1
Oh, that's incorrect.	Oh, that's not incorrect.	1
Oh, that's incorrect.	Oh, that's not right.	0
Oh, that's wrong.	Oh, that's right.	1
Oh, that's wrong.	Oh, that's not wrong.	1
Oh, that's wrong.	Oh, that's not right.	0
Oh, that's impossible.	Oh, that's possible.	1
Oh, that's impossible.	Oh, that's not impossible.	1
Oh, that's impossible.	Oh, that's not possible.	0
Oh, that's actual.	Oh, that's possible.	1
Oh, that's actual.	Oh, that's not actual.	1
Oh, that's actual.	Oh, that's not possible.	0
That will be unnecessary.	That will be necessary.	1
That will be unnecessary.	That will not be unnecessary.	1
That will be unnecessary.	That will not be necessary.	0
If my information is incorrect.	If my information is correct.	1
If my information is incorrect.	If my information is not incorrect.	1
If my information is incorrect.	If my information is not correct.	0
If my information is wrong.	If my information is correct.	1
If my information is wrong.	If my information is not wrong.	1
If my information is wrong.	If my information is not correct.	0
The boy told you, we're shut.	The boy told you, we're open.	1
The boy told you, we're shut.	The boy told you, we're not shut.	1
The boy told you, we're shut.	The boy told you, we're not open.	0
The boy told you, we're closed.	The boy told you, we're open.	1
The boy told you, we're closed.	The boy told you, we're not closed.	1
The boy told you, we're closed.	The boy told you, we're not open.	0
The boy told you, we're unreceptive.	The boy told you, we're open.	1
The boy told you, we're unreceptive.	The boy told you, we're not unreceptive.	1
The boy told you, we're unreceptive.	The boy told you, we're not open.	0
That's impolite.	That's polite.	1
That's impolite.	That's not impolite.	1
That's impolite.	That's not polite.	0
That's uncivil.	That's polite.	1
That's uncivil.	That's not uncivil.	1
That's uncivil.	That's not polite.	0
That's inaccurate.	That's accurate.	1
That's inaccurate.	That's not inaccurate.	1
That's inaccurate.	That's not accurate.	0
He's that good.	He's that bad.	1
He's that good.	He's not that good.	1
He's that good.	He's not that bad.	0
No, honey, you're alive.	No, honey, you're dead.	1
No, honey, you're alive.	No, honey, you're not alive.	1
No, honey, you're alive.	No, honey, you're not dead.	0
Oh, that is bad.	Oh, that is good.	1
Oh, that is bad.	Oh, that is not bad.	1
Oh, that is bad.	Oh, that is not good.	0
Oh, that is evil.	Oh, that is good.	1
Oh, that is evil.	Oh, that is not evil.	1
Oh, that is evil.	Oh, that is not good.	0
That's a bad sign.	That's a good sign.	1
That's a bad sign.	That's not a bad sign.	1
That's a bad sign.	That's not a good sign.	0
That's an evil sign.	That's a good sign.	1
That's an evil sign.	That's not an evil sign.	1
That's an evil sign.	That's not a good sign.	0
Yeah, it's the other thing.	Yeah, it's the same thing.	1
Yeah, it's the other thing.	Yeah, it's not the other thing.	1
Yeah, it's the other thing.	Yeah, it's not the same thing.	0
Yeah, it's a different thing.	Yeah, it's the same thing.	1
Yeah, it's a different thing.	Yeah, it's not a different thing.	1
Yeah, it's a different thing.	Yeah, it's not the same thing.	0
Yeah, it's an unlike thing.	Yeah, it's the same thing.	1
Yeah, it's an unlike thing.	Yeah, it's not an unlike thing.	1
Yeah, it's an unlike thing.	Yeah, it's not the same thing.	0
Door is shut.	Door is open.	1
Door is shut.	Door is not shut.	1
Door is shut.	Door is not open.	0
Door is closed.	Door is open.	1
Door is closed.	Door is not closed.	1
Door is closed.	Door is not open.	0
Door is covert.	Door is open.	1
Door is covert.	Door is not covert.	1
Door is covert.	Door is not open.	0
She's alive.	She's dead.	1
She's alive.	She's not alive.	1
She's alive.	She's not dead.	0
She's well, isn't she?	She's ill, isn't she?	1
She's well, isn't she?	She's not well, is she?	1
She's well, isn't she?	She's not ill, is she?	0
It's old.	It's new.	1
It's old.	It's not old.	1
It's old.	It's not new.	0
It's worn.	It's new.	1
It's worn.	It's not worn.	1
It's worn.	It's not new.	0
How can you say it's that good?	How can you say it's that bad?	1
How can you say it's that good?	How can you say it's not that good?	1
How can you say it's that good?	How can you say it's not that bad?	0
She's good.	She's bad.	1
She's good.	She's not good.	1
She's good.	She's not bad.	0
It does look bad.	It does look good.	1
It does look bad.	It does not look bad.	1
It does look bad.	It does not look good.	0
It does look evil.	It does look good.	1
It does look evil.	It does not look evil.	1
It does look evil.	It does not look good.	0
I know it's unreal.	I know it's real.	1
I know it's unreal.	I know it's not unreal.	1
I know it's unreal.	I know it's not real.	0
I know it's nominal.	I know it's real.	1
I know it's nominal.	I know it's not nominal.	1
I know it's nominal.	I know it's not real.	0
I know it's insubstantial.	I know it's real.	1
I know it's insubstantial.	I know it's not insubstantial.	1
I know it's insubstantial.	I know it's not real.	0
That is unhealthy.	That is healthy.	1
That is unhealthy.	That is not unhealthy.	1
That is unhealthy.	That is not healthy.	0
It's illogical.	It's logical.	1
It's illogical.	It's not illogical.	1
It's illogical.	It's not logical.	0
It's incoherent.	It's logical.	1
It's incoherent.	It's not incoherent.	1
It's incoherent.	It's not logical.	0
This is bad.	This is good.	1
This is bad.	This is not bad.	1
This is bad.	This is not good.	0
This is evil.	This is good.	1
This is evil.	This is not evil.	1
This is evil.	This is not good.	0
Hey, that's unfair.	Hey, that's fair.	1
Hey, that's unfair.	Hey, that's not unfair.	1
Hey, that's unfair.	Hey, that's not fair.	0
Hey, that's foul.	Hey, that's fair.	1
Hey, that's foul.	Hey, that's not foul.	1
Hey, that's foul.	Hey, that's not fair.	0
Oh, my God, he's breathless.	Oh, my God, he's breathing.	1
Oh, my God, he's breathless.	Oh, my God, he's not breathless.	1
Oh, my God, he's breathless.	Oh, my God, he's not breathing.	0
It is the other.	It is the same.	1
It is the other.	It is not the other.	1
It is the other.	It is not the same.	0
It is different.	It is the same.	1
It is different.	It is not different.	1
It is different.	It is not the same.	0
It is unlike.	It is the same.	1
It is unlike.	It is not unlike.	1
It is unlike.	It is not the same.	0
My client is incompetent to give consent.	My client is competent to give consent.	1
My client is incompetent to give consent.	My client is not incompetent to give consent.	1
My client is incompetent to give consent.	My client is not competent to give consent.	0
It is foolish.	It is wise.	1
It is foolish.	It is not foolish.	1
It is foolish.	It is not wise.	0
She's in a bad way.	She's in a good way.	1
She's in a bad way.	She's not in a bad way.	1
She's in a bad way.	She's not in a good way.	0
She's in an evil way.	She's in a good way.	1
She's in an evil way.	She's not in an evil way.	1
She's in an evil way.	She's not in a good way.	0
This is the other.	This is the same.	1
This is the other.	This is not the other.	1
This is the other.	This is not the same.	0
This is different.	This is the same.	1
This is different.	This is not different.	1
This is different.	This is not the same.	0
It's impersonal, guys.	It's personal, guys.	1
It's impersonal, guys.	It's not impersonal, guys.	1
It's impersonal, guys.	It's not personal, guys.	0
You have to understand, it's difficult for us.	You have to understand, it's easy for us.	1
You have to understand, it's difficult for us.	You have to understand, it's not difficult for us.	1
You have to understand, it's difficult for us.	You have to understand, it's not easy for us.	0
You have to understand, it's uneasy for us.	You have to understand, it's easy for us.	1
You have to understand, it's uneasy for us.	You have to understand, it's not uneasy for us.	1
You have to understand, it's uneasy for us.	You have to understand, it's not easy for us.	0
The guy's good.	The guy's bad.	1
The guy's good.	The guy's not good.	1
The guy's good.	The guy's not bad.	0
It...it's impossible.	It...it's possible.	1
It...it's impossible.	It...it's not impossible.	1
It...it's impossible.	It...it's not possible.	0
It...it's actual.	It...it's possible.	1
It...it's actual.	It...it's not actual.	1
It...it's actual.	It...it's not possible.	0
This is abnormal.	This is normal.	1
This is abnormal.	This is not abnormal.	1
This is abnormal.	This is not normal.	0
This is paranormal.	This is normal.	1
This is paranormal.	This is not paranormal.	1
This is paranormal.	This is not normal.	0
You're alive.	You're dead.	1
You're alive.	You're not alive.	1
You're alive.	You're not dead.	0
This does look bad.	This does look good.	1
This does look bad.	This does not look bad.	1
This does look bad.	This does not look good.	0
This does look evil.	This does look good.	1
This does look evil.	This does not look evil.	1
This does look evil.	This does not look good.	0
I'm uncertain where to start.	I'm sure where to start.	1
I'm uncertain where to start.	I'm not uncertain where to start.	1
I'm uncertain where to start.	I'm not sure where to start.	0
I'm unsure where to start.	I'm sure where to start.	1
I'm unsure where to start.	I'm not unsure where to start.	1
I'm unsure where to start.	I'm not sure where to start.	0
It's probable.	It's unlikely.	1
It's probable.	It's not probable.	1
It's probable.	It's not unlikely.	0
It's likely.	It's unlikely.	1
It's likely.	It's not likely.	1
It's likely.	It's not unlikely.	0
You're unangry?	You're angry?	1
You're unangry?	You're not unangry?	1
You're unangry?	You're not angry?	0
He's the other.	He's the same.	1
He's the other.	He's not the other.	1
He's the other.	He's not the same.	0
He's different.	He's the same.	1
He's different.	He's not different.	1
He's different.	He's not the same.	0
He's unlike.	He's the same.	1
He's unlike.	He's not unlike.	1
He's unlike.	He's not the same.	0
That's uncool, man.	That's cool, man.	1
That's uncool, man.	That's not uncool, man.	1
That's uncool, man.	That's not cool, man.	0
I am unready.	I am ready.	1
I am unready.	I am not unready.	1
I am unready.	I am not ready.	0
I could be a bad son.	I could be a good son.	1
I could be a bad son.	I could not be a bad son.	1
I could be a bad son.	I could not be a good son.	0
I could be an evil son.	I could be a good son.	1
I could be an evil son.	I could not be an evil son.	1
I could be an evil son.	I could not be a good son.	0
He is correct in this.	He is wrong in this.	1
He is correct in this.	He is not correct in this.	1
He is correct in this.	He is not wrong in this.	0
He is right in this.	He is wrong in this.	1
He is right in this.	He is not right in this.	1
He is right in this.	He is not wrong in this.	0
So it's expected.	So it's unexpected.	1
So it's expected.	So it's not expected.	1
So it's expected.	So it's not unexpected.	0
It's looking bad.	It's looking good.	1
It's looking bad.	It's not looking bad.	1
It's looking bad.	It's not looking good.	0
It's easy.	It's hard.	1
It's easy.	It's not hard.	0
It's soft.	It's hard.	1
It's soft.	It's not soft.	1
It's soft.	It's not hard.	0
It's voiced.	It's hard.	1
It's voiced.	It's not voiced.	1
It's voiced.	It's not hard.	0
Yes, it's good.	Yes, it's bad.	1
Yes, it's good.	Yes, it's not good.	1
Yes, it's good.	Yes, it's not bad.	0
That's going to be difficult.	That's going to be easy.	1
That's going to be difficult.	That's not going to be difficult.	1
That's going to be difficult.	That's not going to be easy.	0
That's going to be uneasy.	That's going to be easy.	1
That's going to be uneasy.	That's not going to be uneasy.	1
That's going to be uneasy.	That's not going to be easy.	0
This is impersonal.	This is personal.	1
This is impersonal.	This is not impersonal.	1
This is impersonal.	This is not personal.	0
I'm uncertain about that.	I'm sure about that.	1
I'm uncertain about that.	I'm not uncertain about that.	1
I'm uncertain about that.	I'm not sure about that.	0
I'm unsure about that.	I'm sure about that.	1
I'm unsure about that.	I'm not unsure about that.	1
I'm unsure about that.	I'm not sure about that.	0
That is unimportant.	That is important.	1
That is unimportant.	That is not unimportant.	1
That is unimportant.	That is not important.	0
That is insignificant.	That is important.	1
That is insignificant.	That is not insignificant.	1
That is insignificant.	That is not important.	0
That is noncrucial.	That is important.	1
That is noncrucial.	That is not noncrucial.	1
That is noncrucial.	That is not important.	0
I'm unready to.	I'm ready to.	1
I'm unready to.	I'm not unready to.	1
I'm unready to.	I'm not ready to.	0
It's impersonal...he likes you.	It's personal...he likes you.	1
It's impersonal...he likes you.	It's not impersonal...he likes you.	1
It's impersonal...he likes you.	It's not personal...he likes you.	0
That may be impossible.	That may be possible.	1
That may be impossible.	That may not be impossible.	1
That may be impossible.	That may not be possible.	0
That may be actual.	That may be possible.	1
That may be actual.	That may not be actual.	1
That may be actual.	That may not be possible.	0
No, it's the other thing.	No, it's the same thing.	1
No, it's the other thing.	No, it's not the other thing.	1
No, it's the other thing.	No, it's not the same thing.	0
No, it's a different thing.	No, it's the same thing.	1
No, it's a different thing.	No, it's not a different thing.	1
No, it's a different thing.	No, it's not the same thing.	0
No, it's an unlike thing.	No, it's the same thing.	1
No, it's an unlike thing.	No, it's not an unlike thing.	1
No, it's an unlike thing.	No, it's not the same thing.	0
He's good.	He's bad.	1
He's good.	He's not good.	1
He's good.	He's not bad.	0
It is illegal	It is legal	1
It is illegal	It is not illegal	1
It is illegal	It is not legal	0
That's a bad thing.	That's a good thing.	1
